window,panel,abs_approved_days,dyn_approved_days,credit_approved_days,abs_trs_return,dyn_trs_return,credit_trs_return,delta_credit_minus_abs
KLARNA_DOWNROUND,naive,0,0,0,0.0,0.0,0.0,0
KLARNA_DOWNROUND,fix3_only,0,0,0,0.0,0.0,0.0,0
KLARNA_DOWNROUND,institutional,0,0,0,0.004428256676333369,0.004428256676333369,0.004428256676333369,0
AFFIRM_GUIDANCE_1,naive,0,0,0,0.0,0.0,0.0,0
AFFIRM_GUIDANCE_1,fix3_only,0,0,0,0.0,0.0,0.0,0
AFFIRM_GUIDANCE_1,institutional,0,0,0,0.006185399976765544,0.006185399976765544,0.006185399976765544,0
AFFIRM_GUIDANCE_2,naive,0,0,0,0.0,0.0,0.0,0
AFFIRM_GUIDANCE_2,fix3_only,0,0,0,0.0,0.0,0.0,0
AFFIRM_GUIDANCE_2,institutional,0,0,0,0.011048486500889044,0.011048486500889044,0.011048486500889044,0
CFPB_INTERP_RULE,naive,0,0,0,0.0,0.0,0.0,0
CFPB_INTERP_RULE,fix3_only,0,0,0,0.0,0.0,0.0,0
CFPB_INTERP_RULE,institutional,0,0,0,0.012970929478789684,0.012970929478789684,0.012970929478789684,0
REGZ_EFFECTIVE,naive,3,3,3,0.007005830440808153,0.007005830440808153,0.007005830440808153,0
REGZ_EFFECTIVE,fix3_only,3,3,3,0.007005830440808153,0.007005830440808153,0.007005830440808153,0
REGZ_EFFECTIVE,institutional,3,3,3,0.011167257054175506,0.011167257054175506,0.011167257054175506,0
